,dual,solver,max_iter,multi_class,warm_state,class_weight,penalty,accuracy
0,True,liblinear,100,auto,True,,l2,0.8000186115764005
1,True,liblinear,100,auto,True,balanced,l2,0.7278987530243811
2,True,liblinear,100,auto,False,,l2,0.8000186115764005
3,True,liblinear,100,auto,False,balanced,l2,0.7278987530243811
4,True,liblinear,100,ovr,True,,l2,0.8000186115764005
5,True,liblinear,100,ovr,True,balanced,l2,0.7278987530243811
6,True,liblinear,100,ovr,False,,l2,0.8000186115764005
7,True,liblinear,100,ovr,False,balanced,l2,0.7278987530243811
8,True,liblinear,250,auto,True,,l2,0.8000186115764005
9,True,liblinear,250,auto,True,balanced,l2,0.7278987530243811
10,True,liblinear,250,auto,False,,l2,0.8000186115764005
11,True,liblinear,250,auto,False,balanced,l2,0.7278987530243811
12,True,liblinear,250,ovr,True,,l2,0.8000186115764005
13,True,liblinear,250,ovr,True,balanced,l2,0.7278987530243811
14,True,liblinear,250,ovr,False,,l2,0.8000186115764005
15,True,liblinear,250,ovr,False,balanced,l2,0.7278987530243811
16,True,liblinear,500,auto,True,,l2,0.8000186115764005
17,True,liblinear,500,auto,True,balanced,l2,0.7278987530243811
18,True,liblinear,500,auto,False,,l2,0.8000186115764005
19,True,liblinear,500,auto,False,balanced,l2,0.7278987530243811
20,True,liblinear,500,ovr,True,,l2,0.8000186115764005
21,True,liblinear,500,ovr,True,balanced,l2,0.7278987530243811
22,True,liblinear,500,ovr,False,,l2,0.8000186115764005
23,True,liblinear,500,ovr,False,balanced,l2,0.7278987530243811
24,True,liblinear,750,auto,True,,l2,0.8000186115764005
25,True,liblinear,750,auto,True,balanced,l2,0.7278987530243811
26,True,liblinear,750,auto,False,,l2,0.8000186115764005
27,True,liblinear,750,auto,False,balanced,l2,0.7278987530243811
28,True,liblinear,750,ovr,True,,l2,0.8000186115764005
29,True,liblinear,750,ovr,True,balanced,l2,0.7278987530243811
30,True,liblinear,750,ovr,False,,l2,0.8000186115764005
31,True,liblinear,750,ovr,False,balanced,l2,0.7278987530243811
32,True,liblinear,1000,auto,True,,l2,0.8000186115764005
33,True,liblinear,1000,auto,True,balanced,l2,0.7278987530243811
34,True,liblinear,1000,auto,False,,l2,0.8000186115764005
35,True,liblinear,1000,auto,False,balanced,l2,0.7278987530243811
36,True,liblinear,1000,ovr,True,,l2,0.8000186115764005
37,True,liblinear,1000,ovr,True,balanced,l2,0.7278987530243811
38,True,liblinear,1000,ovr,False,,l2,0.8000186115764005
39,True,liblinear,1000,ovr,False,balanced,l2,0.7278987530243811
40,False,liblinear,100,auto,True,,l1,0.8011353061604318
41,False,liblinear,100,auto,True,,l2,0.8000186115764005
42,False,liblinear,100,auto,True,balanced,l1,0.7274334636143681
43,False,liblinear,100,auto,True,balanced,l2,0.7278987530243811
44,False,liblinear,100,auto,False,,l1,0.8011353061604318
45,False,liblinear,100,auto,False,,l2,0.8000186115764005
46,False,liblinear,100,auto,False,balanced,l1,0.7274334636143681
47,False,liblinear,100,auto,False,balanced,l2,0.7278987530243811
48,False,liblinear,100,ovr,True,,l1,0.8011353061604318
49,False,liblinear,100,ovr,True,,l2,0.8000186115764005
50,False,liblinear,100,ovr,True,balanced,l1,0.7274334636143681
51,False,liblinear,100,ovr,True,balanced,l2,0.7278987530243811
52,False,liblinear,100,ovr,False,,l1,0.8011353061604318
53,False,liblinear,100,ovr,False,,l2,0.8000186115764005
54,False,liblinear,100,ovr,False,balanced,l1,0.7274334636143681
55,False,liblinear,100,ovr,False,balanced,l2,0.7278987530243811
56,False,liblinear,250,auto,True,,l1,0.8011353061604318
57,False,liblinear,250,auto,True,,l2,0.8000186115764005
58,False,liblinear,250,auto,True,balanced,l1,0.7274334636143681
59,False,liblinear,250,auto,True,balanced,l2,0.7278987530243811
